BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	LIB_ID	COMP_ID	PLATFORM	RI	MASS	CAS	KEGG	                              Group   HMDB_ID	LT2_1	LT2_2	LT2_3	LT2_4	LT2_5	LT2_6	LT2_7	MYC_1	MYC_2	MYC_3	MYC_4	MYC_5	MYC_6	MYC_7	RAS_1	RAS_2	RAS_3	RAS_4	RAS_5	RAS_6	RAS_7	MYC.RAS_1	MYC.RAS_2	MYC.RAS_3	MYC.RAS_4	MYC.RAS_5	MYC.RAS_6	MYC.RAS_7	MYC.RAS_8	MYC.RAS_9
"1,2-dipalmitoylglycerol"	Lipid	Diacylglycerol	50	35727	GC/MS	2638.5	313.3	40290-32-2;		HMDB07098	"394,398"	"270,208"	"476,369"	"478,584"	"419,473"	"320,417"	"304,106"	"191,038"	"283,565"	"253,269"	"120,691"	"186,137"	"231,989"	"230,440"	"73,759"	"136,896"	"112,485"		"115,803"	"179,835"	"66,716"	"405,535"	"442,786"	"432,647"	"227,151"	"339,872"	"253,323"	"207,241"	"213,288"	"246,252"
"1,3-dihydroxyacetone"	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	50	35963	GC/MS	1263	103	62147-49-3;	C00184	HMDB01882	"1,628,350"	"1,228,097"	"1,467,843"	"1,398,083"	"686,381"	"218,537"	"505,710"	"257,817"	"172,597"	"232,608"	"162,493"	"227,344"	"84,339"	"128,896"	"49,005"	"109,000"	"133,649"	"188,014"	"169,896"	"264,024"	"128,818"	"427,338"	"398,698"	"1,340,136"	"186,467"	"668,632"	"744,501"	"433,168"	"118,863"	"177,018"
"1,3-dipalmitoylglycerol"	Lipid	Diacylglycerol	50	35728	GC/MS	2667.8999	371.3	"26657-95-4
;"			"259,968"	"191,854"	"404,981"	"346,556"	"257,850"	"231,832"	"211,136"	"138,973"	"150,835"	"104,579"	"68,787"	"119,481"	"38,580"	"179,433"	"25,168"	"48,933"	"54,965"	"76,912"	"120,860"	"125,108"	"49,863"	"87,746"	"261,430"	"388,613"	"116,948"	"272,401"	"213,622"	"84,994"	"64,115"	"172,834"
"1,5-anhydroglucitol (1,5-AG)"	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	50	20675	GC/MS	1788.7	217	154-58-5;	C07326	HMDB02712	"473,902"	"511,964"		"444,183"		"467,285"	"265,710"	"493,234"	"570,322"	"739,105"	"405,908"	"772,408"	"778,003"	"921,301"	"1,004,061"	"636,498"	"761,331"	"500,688"	"1,194,187"	"499,341"	"1,010,190"	"624,766"	"465,648"	"613,935"	"915,433"	"574,773"	"303,393"	"479,301"	"456,353"	"619,323"
1-arachidonoylglycerophosphocholine*	Lipid	Lysolipid	200	33228	LC/MS	5554	544.3		C05208				"630,099"	"551,561"	"441,220"		"468,869"	"169,868"	"773,690"	"373,604"	"353,004"	"685,744"	"159,304"	"464,217"	"173,633"	"223,618"	"290,570"		"347,428"		"337,780"	"1,409,036"	"995,590"		"1,591,795"		"483,399"	"1,343,402"	"898,306"	
1-arachidonoylglycerophosphoethanolamine*	Lipid	Lysolipid	201	35186	LC/MS	5731	500.3			HMDB11517	"101,044"		"156,064"	"160,185"	"336,577"	"166,102"	"179,306"	"176,086"	"260,730"	"213,452"	"205,877"	"192,241"	"387,994"	"132,904"	"61,090"	"69,387"		"171,258"		"372,964"	"189,535"	"120,733"	"399,953"	"72,471"	"304,756"	"139,766"	"634,704"	"288,443"	"73,231"	"260,338"
1-arachidonoylglycerophosphoinositol*	Lipid	Lysolipid	201	34214	LC/MS	5479	619.4				"546,855"	"481,475"	"845,037"	"567,772"	"912,206"	"975,545"	"1,044,222"	"685,578"	"1,340,645"	"1,174,824"	"1,443,611"	"1,076,203"	"890,528"	"897,601"	"82,380"	"250,708"	"129,699"	"278,643"	"291,956"	"360,440"	"210,294"	"624,429"	"693,659"	"499,088"	"1,245,142"	"734,713"	"1,298,198"	"1,100,782"	"426,002"	"674,580"
1-eicosatrienoylglycerophosphocholine*	Lipid	Lysolipid	200	33821	LC/MS	5600	546.4				"154,006"	"123,345"	"200,009"	"175,184"	"87,786"		"127,699"	"192,584"	"275,259"	"233,059"	"152,059"	"402,479"	"119,886"	"371,719"		"61,391"	"114,786"	"62,913"		"102,141"	"58,969"	"532,869"	"584,750"	"109,000"	"623,959"	"36,900"	"248,173"	"460,539"	"547,457"	"476,606"
1-linoleoylglycerophosphocholine	Lipid	Lysolipid	200	34419	LC/MS	5574	520.4		C04100		"1,139,664"	"1,560,053"	"1,939,773"	"1,669,520"	"888,582"	"155,728"		"529,241"	"1,802,819"	"1,574,916"	"876,239"	"3,359,663"	"561,346"	"1,434,891"	"720,674"	"1,130,167"	"1,669,461"	"966,226"	"1,475,417"	"1,417,980"	"830,017"	"4,501,870"	"2,610,703"	"1,078,584"	"3,239,961"	"343,834"	"1,194,857"	"3,195,370"	"4,153,909"	"2,961,716"
1-linoleoylglycerophosphoethanolamine*	Lipid	Lysolipid	201	32635	LC/MS	5725	476.3			HMDB11507	"75,102"	"36,950"	"73,057"	"52,734"	"92,566"		"67,421"	"72,602"	"96,346"	"72,183"	"84,960"	"136,686"	"182,139"	"51,790"		"39,026"				"82,988"		"81,736"	"190,032"	"50,827"	"82,730"	"58,785"	"213,804"	"96,607"		"108,756"
